epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.193,0.78539,1.44827,1.27988,0.81139,0.76592,0.83143,0.48827,1.1602,1.8025,1.81837,0.000662222,0.000662222,0.000662222
2,107.075,0.89523,1.14304,1.3425,0.4164,0.37005,0.36145,0.1453,2.03667,2.80864,2.75586,0.00131573,0.00131573,0.00131573
3,156.305,0.93541,1.05357,1.36968,0.773,0.75606,0.81977,0.52973,1.12745,1.12477,1.77297,0.00195604,0.00195604,0.00195604
4,203.968,0.91288,0.97597,1.35096,0.84008,0.85886,0.90124,0.72075,0.71327,0.8725,1.3179,0.0019406,0.0019406,0.0019406
5,253.007,0.8645,0.92473,1.32988,0.87768,0.83976,0.8844,0.62334,0.9555,0.9328,1.56223,0.0019208,0.0019208,0.0019208
6,302.484,0.83144,0.86328,1.29634,0.9694,0.90189,0.94695,0.76992,0.68884,0.60368,1.2842,0.001901,0.001901,0.001901
7,351.449,0.80719,0.82322,1.28055,0.84257,0.82272,0.88715,0.63385,0.85207,0.92359,1.41758,0.0018812,0.0018812,0.0018812
8,400.327,0.75864,0.78335,1.24532,0.90521,0.92943,0.96268,0.80072,0.60076,0.60497,1.20318,0.0018614,0.0018614,0.0018614
9,449.664,0.75876,0.76714,1.23942,0.9618,0.9105,0.96717,0.8525,0.49638,0.53384,1.11361,0.0018416,0.0018416,0.0018416
10,499.047,0.72527,0.71983,1.22275,0.9621,0.9191,0.9656,0.83361,0.56624,0.50024,1.12153,0.0018218,0.0018218,0.0018218
11,546.251,0.70907,0.7036,1.22049,0.97795,0.9159,0.96985,0.84644,0.53303,0.47527,1.12736,0.001802,0.001802,0.001802
12,597.267,0.70902,0.70429,1.21709,0.96016,0.89845,0.97462,0.84276,0.52623,0.51811,1.14729,0.0017822,0.0017822,0.0017822
13,646.813,0.69095,0.68388,1.20748,0.95367,0.88564,0.94738,0.84074,0.49797,0.52529,1.07982,0.0017624,0.0017624,0.0017624
14,695.576,0.6568,0.65592,1.18262,0.95834,0.87098,0.94193,0.74312,0.75557,0.6169,1.32708,0.0017426,0.0017426,0.0017426
15,743.896,0.66298,0.64581,1.18651,0.9662,0.93486,0.9798,0.86217,0.49847,0.45825,1.10417,0.0017228,0.0017228,0.0017228
16,792.208,0.64719,0.64707,1.16979,0.9758,0.9346,0.98188,0.89965,0.41602,0.39506,1.01645,0.001703,0.001703,0.001703
17,840.411,0.6452,0.62726,1.17221,0.95452,0.93632,0.97521,0.89544,0.43229,0.41404,1.03107,0.0016832,0.0016832,0.0016832
18,887.874,0.63617,0.60888,1.17108,0.9386,0.94727,0.97678,0.84762,0.50753,0.44846,1.08832,0.0016634,0.0016634,0.0016634
19,936.974,0.63002,0.60773,1.16114,0.96428,0.94492,0.9814,0.9006,0.42062,0.39131,1.024,0.0016436,0.0016436,0.0016436
20,986.147,0.62045,0.5999,1.15113,0.96453,0.93618,0.97524,0.90132,0.40746,0.38874,1.00513,0.0016238,0.0016238,0.0016238
21,1034.7,0.59226,0.5687,1.13841,0.98078,0.93632,0.9834,0.90338,0.41914,0.3652,1.0378,0.001604,0.001604,0.001604
22,1083.56,0.58532,0.56163,1.13771,0.97166,0.92943,0.97156,0.91338,0.36852,0.38137,0.9837,0.0015842,0.0015842,0.0015842
23,1132.21,0.59106,0.56354,1.13868,0.97031,0.94148,0.97541,0.89815,0.42429,0.37589,1.02315,0.0015644,0.0015644,0.0015644
24,1181.72,0.57035,0.53841,1.1207,0.95488,0.94716,0.98088,0.87947,0.45976,0.39292,1.04222,0.0015446,0.0015446,0.0015446
25,1230.62,0.59186,0.55277,1.13167,0.95097,0.93469,0.97297,0.89321,0.3961,0.39322,1.00046,0.0015248,0.0015248,0.0015248
26,1279.63,0.58254,0.55105,1.12709,0.95699,0.95745,0.98421,0.89848,0.43751,0.37418,1.02091,0.001505,0.001505,0.001505
27,1328.49,0.58486,0.55048,1.13413,0.98653,0.93115,0.98359,0.92201,0.36082,0.34244,0.96964,0.0014852,0.0014852,0.0014852
28,1375.87,0.56744,0.52123,1.12269,0.98207,0.94295,0.98625,0.93209,0.33815,0.31279,0.94217,0.0014654,0.0014654,0.0014654
29,1424.21,0.56313,0.51232,1.1212,0.96066,0.95181,0.97713,0.90884,0.38513,0.35419,0.99747,0.0014456,0.0014456,0.0014456
30,1472.5,0.56756,0.52334,1.1192,0.98034,0.94427,0.98101,0.93284,0.32242,0.30733,0.93555,0.0014258,0.0014258,0.0014258
31,1519.91,0.54271,0.51229,1.10419,0.97773,0.9432,0.98141,0.91369,0.39632,0.35638,0.97583,0.001406,0.001406,0.001406
32,1568.6,0.54832,0.50541,1.11505,0.95519,0.95385,0.98508,0.92679,0.35793,0.33068,0.95994,0.0013862,0.0013862,0.0013862
33,1616.82,0.56123,0.51588,1.1159,0.96466,0.89329,0.9643,0.88942,0.40001,0.40412,1.03547,0.0013664,0.0013664,0.0013664
34,1664.73,0.53993,0.49923,1.09978,0.98104,0.93976,0.98216,0.93643,0.32,0.32062,0.93276,0.0013466,0.0013466,0.0013466
